Suburbs,Sentiment
SASSAFRAS,"{'pos': 3, 'neg': 1}"
YERING,{'pos': 2}
NOTTING HILL,"{'neg': 1, 'pos': 2}"
COLDSTREAM,"{'pos': 3, 'neg': 1}"
BROOKLYN,{'pos': 2}
LYSTERFIELD SOUTH,"{'neg': 3, 'pos': 4}"
INDENTED HEAD,{'pos': 4}
THE PATCH,{'pos': 1}
DIGGERS REST,"{'neg': 2, 'pos': 7}"
EMERALD,{'pos': 2}
ARDEER,"{'pos': 1, 'neg': 2}"
KALLISTA,{'neg': 1}
UPPER PLENTY,{'pos': 1}
PORTARLINGTON,{'pos': 2}
LAVERTON NORTH,{'pos': 1}
WILDWOOD,{'pos': 1}
JACANA,{'neg': 1}
BONNIE BROOK,{'neg': 1}
NAR NAR GOON NORTH,{'pos': 1}
HODDLES CREEK,"{'pos': 1, 'neg': 1}"
TOOLERN VALE,{'pos': 1}
MICKLEHAM,"{'neg': 6, 'pos': 4}"
KINGLAKE WEST,{'neg': 3}
ESSENDON FIELDS,{'pos': 1}
ST LEONARDS,"{'neg': 1, 'pos': 1}"
SEVILLE EAST,{'neg': 1}
BEACONSFIELD UPPER,{'pos': 1}
BRAESIDE,{'pos': 3}
BADGER CREEK,{'pos': 3}
TREMONT,{'pos': 1}
